Dato	F.value	p.value
2025-09-22	7.47254786060142	0.0118390031744353
2025-09-23	0.00669670021461771	0.93548720418414
2025-09-24	0.0177629282108522	0.895133064880454
2025-09-25	0.0217868410100829	0.88394188989742
2025-09-26	0.0487916031572964	0.827128618997618
2025-09-27	0.142317954752871	0.709446002601441
2025-09-28	0.111749234059774	0.741190482055202
2025-09-29	0.006805269838491	0.934967579498792
2025-09-30	0.0155069585020244	0.901980037502907
2025-10-01	0.0276785230262563	0.869320749042138
2025-10-02	0.00620265330891926	0.937907168627047
2025-10-03	0.0419491688715714	0.839518422127376
2025-10-04	0.1833816990067	0.672466552799103
2025-10-05	0.369598787030553	0.549179703038951
2025-10-06	0.121343422959266	0.730750289796791
2025-10-07	0.0532696817977668	0.819509137719071
2025-10-08	0.000143803260466804	0.990535570110169
2025-10-09	0.0411478054829492	0.841036668079646
2025-10-10	0.0609138791605758	0.807246908702492
2025-10-11	0.178471069102059	0.676613735446648
2025-10-12	0.00150263716043484	0.96941316528204
2025-10-13	0.0193358075697636	0.89061846407834
2025-10-14	0.136164746278091	0.715499165678709
2025-10-15	0.0127179432207981	0.911188373689298
2025-10-16	0.0224782109055232	0.882128935754049
2025-10-17	0.0421495130297438	0.839141224313905
2025-10-18	0.0787803473209654	0.781466413172811
2025-10-19	0.0350252228451381	0.853183925611573
2025-10-20	0.029987590165204	0.864033352320733
2025-10-21	0.35579225120664	0.556678451251601
2025-10-22	0.0168400351716517	0.897877297568144
2025-10-23	0.0202051013000313	0.888203570733761
2025-10-24	0.0703187135711655	0.793235491759306
2025-10-25	1.3477381851125	0.257581764486909
2025-10-26	0.000126437882600836	0.99112537500419
2025-10-27	0.00608815781938937	0.938481703640519
2025-10-28	0.271942128627112	0.607017520162391
2025-10-29	0.129158278701188	0.722584918473479
2025-10-30	4.11843914737765e-05	0.994934944957214
2025-10-31	0.00928395731351712	0.924074642459643
2025-11-01	0.319190493160449	0.57756416231422
2025-11-02	0.00165177961470126	0.967931971331547
2025-11-03	0.0832462238297389	0.775646483906414
