Dato	term	contrast	null.value	estimate	conf.low	conf.high	adj.p.value
2025-09-22	group	eg-bøg	0	0.12962962962963	-19.1777818821273	19.4370411413866	0.98602020190101
2025-09-23	group	eg-bøg	0	-0.562500000000002	-13.4343950827868	12.3093950827868	0.909279945938395
2025-09-24	group	eg-bøg	0	-1.06944444444445	-14.9277421495971	12.7888532607082	0.840824284937277
2025-09-25	group	eg-bøg	0	-0.413194444444446	-12.2422787320672	11.4158898431783	0.927405165665315
2025-09-26	group	eg-bøg	0	-0.881944444444443	-11.0232305394594	9.25934165057054	0.82107399042961
2025-09-27	group	eg-bøg	0	-2.22916666666667	-12.5889966088587	8.1306632755254	0.582401695228141
2025-09-28	group	eg-bøg	0	-1.30902777777778	-10.541750638151	7.92369508259544	0.713921739870661
2025-09-29	group	eg-bøg	0	-0.197916666666668	-7.30158710158259	6.90575376824925	0.942055692269367
2025-09-30	group	eg-bøg	0	-0.715277777777779	-9.32462784841344	7.89407229285788	0.828887269356351
2025-10-01	group	eg-bøg	0	-1.78472222222222	-13.7529686551252	10.1835242106808	0.700090548091126
2025-10-02	group	eg-bøg	0	-1.21527777777778	-13.209843432639	10.7792878770835	0.792426637956367
2025-10-03	group	eg-bøg	0	-0.902777777777779	-11.5054522158394	9.69989666028383	0.824730943307596
2025-10-04	group	eg-bøg	0	-0.815972222222221	-6.20323904467884	4.5712946002344	0.695707118220769
2025-10-05	group	eg-bøg	0	-0.222222222222221	-4.49511792818761	4.05067348374317	0.892170643586658
2025-10-06	group	eg-bøg	0	-3.43055555555556	-15.5851431576233	8.72403204651221	0.477054727701552
2025-10-07	group	eg-bøg	0	-0.43402777777778	-4.41134056794498	3.54328501238941	0.777006215076778
2025-10-08	group	eg-bøg	0	-1.48958333333334	-9.67312118332604	6.69395451665937	0.639870552701704
2025-10-09	group	eg-bøg	0	-0.392361111111112	-7.76394731186173	6.9792250896395	0.889666352472585
2025-10-10	group	eg-bøg	0	-0.208333333333336	-3.36593882812252	2.94927216145585	0.863562781265725
2025-10-11	group	eg-bøg	0	-0.864583333333336	-5.06775356586036	3.33858689919369	0.598480773130773
2025-10-12	group	eg-bøg	0	-1.63194444444444	-15.5448116921742	12.2809228032853	0.760997448353183
2025-10-13	group	eg-bøg	0	-0.253472222222227	-10.3155850369114	9.80864059246691	0.947597615772312
2025-10-14	group	eg-bøg	0	-2	-12.2095510461633	8.20955104616334	0.61541059410887
2025-10-15	group	eg-bøg	0	-0.0625	-5.84506624504983	5.72006624504983	0.977497537628114
2025-10-16	group	eg-bøg	0	-2.64236111111112	-13.8765441554625	8.59182193324026	0.549361687669247
2025-10-17	group	eg-bøg	0	-0.451388888888889	-10.7114103341609	9.80863255638314	0.908671169259021
2025-10-18	group	eg-bøg	0	-2.10416666666667	-15.9627393299935	11.7544059966601	0.695018994746049
2025-10-19	group	eg-bøg	0	-1.99652777777778	-14.9998578069417	11.0068022513861	0.691831832412869
2025-10-20	group	eg-bøg	0	-0.579861111111112	-8.36999224634115	7.21027002411893	0.846364055285158
2025-10-21	group	eg-bøg	0	-0.298611111111111	-4.00098073850752	3.4037585162853	0.833782444255186
2025-10-22	group	eg-bøg	0	-0.451388888888889	-5.7132522914735	4.81047451369572	0.823446514970332
2025-10-23	group	eg-bøg	0	0.00347222222222499	-5.22814516910417	5.23508961354862	0.998617951319013
2025-10-24	group	eg-bøg	0	-0.631944444444446	-4.43752776590372	3.17363887701483	0.668716885282581
2025-10-25	group	eg-bøg	0	-0.375	-2.72652537969994	1.97652537969994	0.680826221111438
2025-10-26	group	eg-bøg	0	-1.09057971014493	-7.30592353358267	5.12476411329281	0.651628393453937
2025-10-27	group	eg-bøg	0	-0.881944444444446	-7.3281438490419	5.56425496015301	0.723354098741242
2025-10-28	group	eg-bøg	0	-0.409722222222223	-5.7097225189891	4.89027807454465	0.840548855906909
2025-10-29	group	eg-bøg	0	0.333333333333332	-5.78855882268927	6.45522548935594	0.887154351094975
2025-10-30	group	eg-bøg	0	-0.618055555555558	-7.51607058787137	6.27995947676026	0.815791171898292
2025-10-31	group	eg-bøg	0	-0.486111111111112	-10.0268126545811	9.05459043235887	0.894341994303595
2025-11-01	group	eg-bøg	0	-0.635416666666668	-4.42789962401376	3.15706629068043	0.66599553133449
2025-11-02	group	eg-bøg	0	-1.39236111111111	-9.98042391823523	7.195701696013	0.675927640819446
2025-11-03	group	eg-bøg	0	0.155797101449274	-5.41464830285172	5.72624250575026	0.941833022776763
