Dato	F.value	p.value
2025-09-22	0.000347490073682083	0.986020197804604
2025-09-23	0.0147211595633688	0.90927991927531
2025-09-24	0.0459069704419195	0.840824237850901
2025-09-25	0.00940564631023838	0.927405144352986
2025-09-26	0.058301313216386	0.8210739373654
2025-09-27	0.356912515024195	0.582401563886607
2025-09-28	0.15496016668175	0.71392165334919
2025-09-29	0.0059838551940196	0.942055675270291
2025-09-30	0.053209683971893	0.828887218662513
2025-10-01	0.171420266308855	0.70009045708855
2025-10-02	0.0791341624440247	0.792426576132581
2025-10-03	0.0558872598542635	0.824730891353755
2025-10-04	0.176846197446498	0.695707025788557
2025-10-05	0.0208503013520118	0.892170611854558
2025-10-06	0.614087710998602	0.47705455536665
2025-10-07	0.0917989060507959	0.777006148488305
2025-10-08	0.255404983450947	0.639870441609927
2025-10-09	0.0218389605414162	0.889666319996838
2025-10-10	0.0335570469798661	0.86356274100874
2025-10-11	0.326168268547892	0.598480647578175
2025-10-12	0.106061900971122	0.760997376777156
2025-10-13	0.00489175085025041	0.947597600402579
2025-10-14	0.295820761378957	0.615410474544152
2025-10-15	0.000900535318216965	0.977497531033606
2025-10-16	0.426464902791474	0.5493615440873
2025-10-17	0.0149206293150637	0.908671142415896
2025-10-18	0.177707278219153	0.695018902088982
2025-10-19	0.181728688480889	0.691831738712818
2025-10-20	0.0427110628529074	0.84636400986753
2025-10-21	0.0501457725947522	0.833782395042692
2025-10-22	0.0567289230232154	0.823446462626686
2025-10-23	3.39566645047816e-06	0.998617950914068
2025-10-24	0.212567702851864	0.668716783939733
2025-10-25	0.196040203032036	0.680826123790059
2025-10-26	0.237337552621032	0.651628286365926
2025-10-27	0.144296878145228	0.723354015250819
2025-10-28	0.0460690440110906	0.840548808737478
2025-10-29	0.0228543087414754	0.887154317872822
2025-10-30	0.0618854716413599	0.81579111722707
2025-10-31	0.0200120889353569	0.894341963215907
2025-11-01	0.216397319668901	0.665995429082342
2025-11-02	0.202626057700184	0.675927541876047
2025-11-03	0.00603004914702024	0.941833005712199
