Dato	F.value	p.value
2025-09-22	8.77375848503625	0.00698458047222278
2025-09-23	0.00128179027545413	0.971749077307622
2025-09-24	0.00829942295511021	0.928200985948369
2025-09-25	0.0410126243472187	0.841294294766156
2025-09-26	0.0301881717779798	0.863584117117773
2025-09-27	0.0106167443200924	0.918826278313827
2025-09-28	0.0279373085149432	0.868717146986378
2025-09-29	0.000123320348404591	0.991235462359819
2025-09-30	0.00420192307692311	0.948875656622464
2025-10-01	0.00249790596296153	0.960570581792852
2025-10-02	0.00117630964157178	0.972935940215137
2025-10-03	0.0953462917620301	0.760267018950858
2025-10-04	0.672427234927235	0.420623942874417
2025-10-05	0.569178912992768	0.458240894818961
2025-10-06	0.0284694896151989	0.867484842702707
2025-10-07	0.264622997721187	0.611869607130215
2025-10-08	0.0828306780288998	0.776074789826176
2025-10-09	0.0843164751275773	0.77413292929062
2025-10-10	0.158335493478201	0.694362965549053
2025-10-11	0.220334653212414	0.64320451074121
2025-10-12	0.0549853744697589	0.816679796939073
2025-10-13	0.0042365463394139	0.948665768879271
2025-10-14	0.000377187662820201	0.984672504230503
2025-10-15	0.000105106968766927	0.991908504996007
2025-10-16	0.0545257724637493	0.81743309607072
2025-10-17	0.0708616741247698	0.792458140211864
2025-10-18	0.00464112706905478	0.946274276182147
2025-10-19	2.93053056384768e-05	0.995727403627856
2025-10-20	0.0867885189637782	0.770942908045637
2025-10-21	0.982809735759763	0.331821835870504
2025-10-22	0.144749496534837	0.707095406516702
2025-10-23	0.018556421159231	0.892831129670673
2025-10-24	0.72425612831218	0.403524930898604
2025-10-25	2.293714328854	0.143521354396638
2025-10-26	0.0510359721000702	0.823265787757602
2025-10-27	0.149385414877169	0.702675981988897
2025-10-28	0.0388542117799917	0.845469303189445
2025-10-29	0.00792127452928076	0.929851144900263
2025-10-30	0.00696016215906488	0.934233423223403
2025-10-31	0.00648953855750065	0.936490605382487
2025-11-01	1.11220154061241	0.302556957934107
2025-11-02	0.00615931138133626	0.938124024279858
2025-11-03	0.0940701140653526	0.76194934893372
