Dato	comparison	diff	lwr	upr	p.adj
2025-09-22	eg-dmi	5.04212962962963	1.52077509686976	8.5634841623895	0.00698458047225292
2025-09-23	eg-dmi	0.145833333333334	-8.28046632651821	8.57213299318488	0.971749077307622
2025-09-24	eg-dmi	0.450000000000001	-9.76826468666909	10.6682646866691	0.928200985948369
2025-09-25	eg-dmi	0.960416666666662	-8.85004603890623	10.7708793722396	0.841294294766158
2025-09-26	eg-dmi	0.5375	-5.86203834316636	6.93703834316636	0.863584117117775
2025-09-27	eg-dmi	0.258333333333335	-4.92815436019781	5.44482102686448	0.918826278313826
2025-09-28	eg-dmi	0.427083333333334	-4.85869473919057	5.71286140585723	0.868717146986379
2025-09-29	eg-dmi	0.0145833333333325	-2.70203116609967	2.73119783276634	0.991235462359819
2025-09-30	eg-dmi	0.158333333333335	-4.89452229088351	5.21118895755018	0.948875656622463
2025-10-01	eg-dmi	0.152083333333334	-6.14271996309118	6.44688662975785	0.960570581792851
2025-10-02	eg-dmi	0.112500000000001	-6.67297535232263	6.89797535232263	0.972935940215136
2025-10-03	eg-dmi	-0.61875	-4.76401110705172	3.52651110705172	0.760267018950864
2025-10-04	eg-dmi	-0.9375	-3.30253303865969	1.42753303865969	0.420623942874435
2025-10-05	eg-dmi	-0.858333333333331	-3.21186562216324	1.49519895549658	0.458240894818979
2025-10-06	eg-dmi	-0.258333333333335	-3.42556032777036	2.90889366110369	0.867484842702708
2025-10-07	eg-dmi	-0.547916666666666	-2.75129615328647	1.65546281995314	0.611869607130233
2025-10-08	eg-dmi	-0.450000000000001	-3.68448758698785	2.78448758698785	0.776074789826181
2025-10-09	eg-dmi	-0.5875	-4.77293144592307	3.59793144592307	0.774132929290625
2025-10-10	eg-dmi	-0.329166666666667	-2.04042388398418	1.38209055065085	0.694362965549064
2025-10-11	eg-dmi	-0.312499999999998	-1.68970059515185	1.06470059515186	0.643204510741227
2025-10-12	eg-dmi	-0.768750000000001	-7.5506302721036	6.0131302721036	0.816679796939077
2025-10-13	eg-dmi	0.229166666666668	-7.05423146571232	7.51256479904565	0.94866576887927
2025-10-14	eg-dmi	-0.0500000000000007	-5.37573861841789	5.27573861841789	0.984672504230503
2025-10-15	eg-dmi	0.0187500000000007	-3.76457891439318	3.80207891439319	0.991908504996007
2025-10-16	eg-dmi	-0.564583333333333	-5.56626126571551	4.43709459904884	0.817433096070723
2025-10-17	eg-dmi	0.637500000000001	-4.31658060076924	5.59158060076924	0.792458140211869
2025-10-18	eg-dmi	0.260416666666666	-7.64720038598724	8.16803371932057	0.946274276182146
2025-10-19	eg-dmi	0.0145833333333334	-5.55820128296248	5.58736794962915	0.995727403627856
2025-10-20	eg-dmi	-0.581249999999997	-4.66275572943593	3.50025572943593	0.770942908045643
2025-10-21	eg-dmi	-0.99375	-3.06737872296546	1.07987872296546	0.331821835870525
2025-10-22	eg-dmi	-0.537500000000001	-3.46002692430173	2.38502692430173	0.707095406516713
2025-10-23	eg-dmi	-0.239583333333332	-3.87787972571077	3.39871305904411	0.892831129670673
2025-10-24	eg-dmi	-0.574999999999999	-1.9726883284217	0.822688328421703	0.403524930898623
2025-10-25	eg-dmi	-0.535416666666668	-1.26674231584642	0.195908982513079	0.143521354396662
2025-10-26	eg-dmi	0.240217391304347	-1.95943894410554	2.43987372671423	0.823265787757605
2025-10-27	eg-dmi	0.44375	-1.93130051176085	2.81880051176085	0.702675981988907
2025-10-28	eg-dmi	-0.164583333333334	-1.89183406612064	1.56266739945397	0.845469303189447
2025-10-29	eg-dmi	-0.164583333333335	-3.98998378338402	3.66081711671736	0.929851144900262
2025-10-30	eg-dmi	0.135416666666667	-3.22235394324938	3.49318727658271	0.934233423223403
2025-10-31	eg-dmi	-0.212499999999999	-5.66933232292328	5.24433232292328	0.936490605382486
2025-11-01	eg-dmi	-0.875	-2.59134618907931	0.841346189079312	0.30255695793413
2025-11-02	eg-dmi	-0.116666666666667	-3.19183782439986	2.95850449106653	0.938124024279858
2025-11-03	eg-dmi	-0.550000000000001	-4.26893850433608	3.16893850433608	0.76194934893372
